Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;1.505.829
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;1.496.618
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-0,6
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;273
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;273
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;0,0
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;1.057
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;1.079
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;2,1
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;22.216
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;23.881
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;7,5
TOTAL NACIONAL;4. Secuestro;enero-septiembre 2024;77
TOTAL NACIONAL;4. Secuestro;enero-septiembre 2025;87
TOTAL NACIONAL;4. Secuestro;Variación % 2025/2024;13,0
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-septiembre 2024;16.025
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-septiembre 2025;16.612
TOTAL NACIONAL;5. Delitos contra la libertad sexual;Variación % 2025/2024;3,7
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-septiembre 2024;3.955
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-septiembre 2025;4.137
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;Variación % 2025/2024;4,6
