Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;12.070
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;12.475
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;3,4
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-septiembre 2024;47.614
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-septiembre 2025;47.173
TOTAL NACIONAL;6. Robos con violencia e intimidación;Variación % 2025/2024;-0,9
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;86.842
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;77.600
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-10,6
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;61.129
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;54.979
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-10,1
TOTAL NACIONAL;8. Hurtos;enero-septiembre 2024;491.291
TOTAL NACIONAL;8. Hurtos;enero-septiembre 2025;480.249
TOTAL NACIONAL;8. Hurtos;Variación % 2025/2024;-2,2
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-septiembre 2024;24.774
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-septiembre 2025;24.478
TOTAL NACIONAL;9. Sustracciones de vehículos;Variación % 2025/2024;-1,2
TOTAL NACIONAL;10. Tráfico de drogas;enero-septiembre 2024;16.392
TOTAL NACIONAL;10. Tráfico de drogas;enero-septiembre 2025;17.093
TOTAL NACIONAL;10. Tráfico de drogas;Variación % 2025/2024;4,3
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-septiembre 2024;799.268
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-septiembre 2025;808.093
TOTAL NACIONAL;11. Resto de criminalidad convencional;Variación % 2025/2024;1,1
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;346.631
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;374.259
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;8,0
TOTAL NACIONAL;12.-Estafas informáticas;enero-septiembre 2024;308.073
TOTAL NACIONAL;12.-Estafas informáticas;enero-septiembre 2025;327.856
TOTAL NACIONAL;12.-Estafas informáticas;Variación % 2025/2024;6,4
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-septiembre 2024;38.558
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-septiembre 2025;46.403
TOTAL NACIONAL;13.-Otros ciberdelitos;Variación % 2025/2024;20,3
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;1.852.460
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;1.870.877
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;1,0
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;248.875
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;247.069
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-0,7
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;68
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;71
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;4,4
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;214
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;222
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;3,7
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;4.116
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;4.379
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;6,4
ANDALUCÍA;4. Secuestro;enero-septiembre 2024;20
ANDALUCÍA;4. Secuestro;enero-septiembre 2025;34
ANDALUCÍA;4. Secuestro;Variación % 2025/2024;70,0
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2024;2.383
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2025;2.397
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2025/2024;0,6
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;476
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;474
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;-0,4
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;1.907
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;1.923
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;0,8
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2024;5.626
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2025;5.451
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2025/2024;-3,1
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;13.940
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;11.906
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-14,6
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;9.878
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;8.332
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-15,7
ANDALUCÍA;8. Hurtos;enero-septiembre 2024;70.407
ANDALUCÍA;8. Hurtos;enero-septiembre 2025;67.111
ANDALUCÍA;8. Hurtos;Variación % 2025/2024;-4,7
ANDALUCÍA;9. Sustracciones de vehículos;enero-septiembre 2024;4.556
ANDALUCÍA;9. Sustracciones de vehículos;enero-septiembre 2025;4.660
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2025/2024;2,3
ANDALUCÍA;10. Tráfico de drogas;enero-septiembre 2024;3.330
ANDALUCÍA;10. Tráfico de drogas;enero-septiembre 2025;3.142
ANDALUCÍA;10. Tráfico de drogas;Variación % 2025/2024;-5,6
ANDALUCÍA;11. Resto de criminalidad convencional;enero-septiembre 2024;144.215
ANDALUCÍA;11. Resto de criminalidad convencional;enero-septiembre 2025;147.696
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2025/2024;2,4
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;60.474
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;68.556
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;13,4
ANDALUCÍA;12.-Estafas informáticas;enero-septiembre 2024;52.887
ANDALUCÍA;12.-Estafas informáticas;enero-septiembre 2025;58.988
ANDALUCÍA;12.-Estafas informáticas;Variación % 2025/2024;11,5
ANDALUCÍA;13.-Otros ciberdelitos;enero-septiembre 2024;7.587
ANDALUCÍA;13.-Otros ciberdelitos;enero-septiembre 2025;9.568
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2025/2024;26,1
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;309.349
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;315.625
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;2,0
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;30.344
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;31.099
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;2,5
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;7
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;1
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-85,7
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;22
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;24
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;9,1
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;581
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;649
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;11,7
ARAGÓN;4. Secuestro;enero-septiembre 2024;0
ARAGÓN;4. Secuestro;enero-septiembre 2025;1
ARAGÓN;4. Secuestro;Variación % 2025/2024;100,0
ARAGÓN;5. Delitos contra la libertad sexual;enero-septiembre 2024;337
ARAGÓN;5. Delitos contra la libertad sexual;enero-septiembre 2025;355
ARAGÓN;5. Delitos contra la libertad sexual;Variación % 2025/2024;5,3
ARAGÓN;5.1.-Agresión sexual con penetración;enero-septiembre 2024;70
ARAGÓN;5.1.-Agresión sexual con penetración;enero-septiembre 2025;79
ARAGÓN;5.1.-Agresión sexual con penetración;Variación % 2025/2024;12,9
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;267
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;276
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;3,4
ARAGÓN;6. Robos con violencia e intimidación;enero-septiembre 2024;997
ARAGÓN;6. Robos con violencia e intimidación;enero-septiembre 2025;962
ARAGÓN;6. Robos con violencia e intimidación;Variación % 2025/2024;-3,5
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;1.947
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;1.533
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-21,3
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;1.448
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;1.075
ARAGÓN;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-25,8
ARAGÓN;8. Hurtos;enero-septiembre 2024;8.395
ARAGÓN;8. Hurtos;enero-septiembre 2025;8.712
ARAGÓN;8. Hurtos;Variación % 2025/2024;3,8
ARAGÓN;9. Sustracciones de vehículos;enero-septiembre 2024;208
ARAGÓN;9. Sustracciones de vehículos;enero-septiembre 2025;207
ARAGÓN;9. Sustracciones de vehículos;Variación % 2025/2024;-0,5
ARAGÓN;10. Tráfico de drogas;enero-septiembre 2024;376
ARAGÓN;10. Tráfico de drogas;enero-septiembre 2025;356
ARAGÓN;10. Tráfico de drogas;Variación % 2025/2024;-5,3
ARAGÓN;11. Resto de criminalidad convencional;enero-septiembre 2024;17.474
ARAGÓN;11. Resto de criminalidad convencional;enero-septiembre 2025;18.299
ARAGÓN;11. Resto de criminalidad convencional;Variación % 2025/2024;4,7
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;9.105
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;10.522
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;15,6
ARAGÓN;12.-Estafas informáticas;enero-septiembre 2024;8.122
ARAGÓN;12.-Estafas informáticas;enero-septiembre 2025;9.297
ARAGÓN;12.-Estafas informáticas;Variación % 2025/2024;14,5
ARAGÓN;13.-Otros ciberdelitos;enero-septiembre 2024;983
ARAGÓN;13.-Otros ciberdelitos;enero-septiembre 2025;1.225
ARAGÓN;13.-Otros ciberdelitos;Variación % 2025/2024;24,6
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;39.449
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;41.621
ARAGÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;5,5
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;19.053
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;20.179
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;5,9
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;4
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;7
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;75,0
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;13
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;9
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-30,8
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;337
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;376
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;11,6
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-septiembre 2024;2
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-septiembre 2025;1
ASTURIAS (PRINCIPADO DE);4. Secuestro;Variación % 2025/2024;-50,0
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-septiembre 2024;218
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-septiembre 2025;261
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;Variación % 2025/2024;19,7
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-septiembre 2024;50
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-septiembre 2025;53
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;Variación % 2025/2024;6,0
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;168
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;208
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;23,8
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-septiembre 2024;259
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-septiembre 2025;365
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;Variación % 2025/2024;40,9
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;953
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;1.029
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;8,0
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;539
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;639
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;18,6
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-septiembre 2024;5.800
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-septiembre 2025;5.973
ASTURIAS (PRINCIPADO DE);8. Hurtos;Variación % 2025/2024;3,0
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-septiembre 2024;157
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-septiembre 2025;164
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;Variación % 2025/2024;4,5
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-septiembre 2024;132
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-septiembre 2025;128
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;Variación % 2025/2024;-3,0
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-septiembre 2024;11.178
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-septiembre 2025;11.866
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;Variación % 2025/2024;6,2
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;6.768
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;7.205
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;6,5
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-septiembre 2024;6.012
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-septiembre 2025;6.417
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;Variación % 2025/2024;6,7
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-septiembre 2024;756
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-septiembre 2025;788
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;Variación % 2025/2024;4,2
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;25.821
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;27.384
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;6,1
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;53.105
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;55.578
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;4,7
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;4
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;2
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-50,0
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;26
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;47
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;80,8
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;1.037
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;1.140
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;9,9
BALEARS (ILLES);4. Secuestro;enero-septiembre 2024;4
BALEARS (ILLES);4. Secuestro;enero-septiembre 2025;1
BALEARS (ILLES);4. Secuestro;Variación % 2025/2024;-75,0
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-septiembre 2024;734
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-septiembre 2025;704
BALEARS (ILLES);5. Delitos contra la libertad sexual;Variación % 2025/2024;-4,1
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-septiembre 2024;119
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-septiembre 2025;105
BALEARS (ILLES);5.1.-Agresión sexual con penetración;Variación % 2025/2024;-11,8
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;615
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;599
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-2,6
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-septiembre 2024;1.117
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-septiembre 2025;1.278
BALEARS (ILLES);6. Robos con violencia e intimidación;Variación % 2025/2024;14,4
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;2.124
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;1.865
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-12,2
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;1.515
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;1.380
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-8,9
BALEARS (ILLES);8. Hurtos;enero-septiembre 2024;19.572
BALEARS (ILLES);8. Hurtos;enero-septiembre 2025;22.024
BALEARS (ILLES);8. Hurtos;Variación % 2025/2024;12,5
BALEARS (ILLES);9. Sustracciones de vehículos;enero-septiembre 2024;1.361
BALEARS (ILLES);9. Sustracciones de vehículos;enero-septiembre 2025;1.183
BALEARS (ILLES);9. Sustracciones de vehículos;Variación % 2025/2024;-13,1
BALEARS (ILLES);10. Tráfico de drogas;enero-septiembre 2024;653
BALEARS (ILLES);10. Tráfico de drogas;enero-septiembre 2025;689
BALEARS (ILLES);10. Tráfico de drogas;Variación % 2025/2024;5,5
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-septiembre 2024;26.473
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-septiembre 2025;26.645
BALEARS (ILLES);11. Resto de criminalidad convencional;Variación % 2025/2024;0,6
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;9.736
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;10.306
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;5,9
BALEARS (ILLES);12.-Estafas informáticas;enero-septiembre 2024;8.625
BALEARS (ILLES);12.-Estafas informáticas;enero-septiembre 2025;9.077
BALEARS (ILLES);12.-Estafas informáticas;Variación % 2025/2024;5,2
BALEARS (ILLES);13.-Otros ciberdelitos;enero-septiembre 2024;1.111
BALEARS (ILLES);13.-Otros ciberdelitos;enero-septiembre 2025;1.229
BALEARS (ILLES);13.-Otros ciberdelitos;Variación % 2025/2024;10,6
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;62.841
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;65.884
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;4,8
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;67.933
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;70.034
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;3,1
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;10
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;25
CANARIAS;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;150,0
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;36
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;41
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;13,9
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;1.049
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;1.136
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;8,3
CANARIAS;4. Secuestro;enero-septiembre 2024;0
CANARIAS;4. Secuestro;enero-septiembre 2025;4
CANARIAS;4. Secuestro;Variación % 2025/2024;100,0
CANARIAS;5. Delitos contra la libertad sexual;enero-septiembre 2024;932
CANARIAS;5. Delitos contra la libertad sexual;enero-septiembre 2025;822
CANARIAS;5. Delitos contra la libertad sexual;Variación % 2025/2024;-11,8
CANARIAS;5.1.-Agresión sexual con penetración;enero-septiembre 2024;189
CANARIAS;5.1.-Agresión sexual con penetración;enero-septiembre 2025;154
CANARIAS;5.1.-Agresión sexual con penetración;Variación % 2025/2024;-18,5
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;743
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;668
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-10,1
CANARIAS;6. Robos con violencia e intimidación;enero-septiembre 2024;1.300
